archivo,hoja,bloque_idx,contexto_encabezado_raw
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB  4 OK,2,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 4 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA CAFE PLAZOLETA CAMILO TORRES | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB5 OK,0,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 5 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita:  CAFETERIA BIENESTAR ESTUDIANTIL/ DEDIFICIO BIENESTAR ESTUDIANTIL PISO | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB5 OK,1,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 5 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA ADMINISTRACION 3 / EDIFICIO ADMINISTRACION 3 PISO 6 | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB5 OK,2,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 5 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA CAFE PLAZOLETA CAMILO TORRES | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB6 OK,0,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 6 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita:  CAFETERIA BIENESTAR ESTUDIANTIL/ DEDIFICIO BIENESTAR ESTUDIANTIL PISO | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB6 OK,1,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 6 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA ADMINISTRACION 3 / EDIFICIO ADMINISTRACION 3 PISO 6 | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB6 OK,2,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 6 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA CAFE PLAZOLETA CAMILO TORRES | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB9 ),0,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 9 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita:  CAFETERIA BIENESTAR ESTUDIANTIL/ DEDIFICIO BIENESTAR ESTUDIANTIL PISO | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB9 ),1,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 9 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA ADMINISTRACION 3 / EDIFICIO ADMINISTRACION 3 PISO 6 | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
EMPANADAS-RAPRITOS__SJME_DF_14MAYO.xlsx,SALIDAS RAPIFRITOS- FEB9 ),2,"PROCESO BIENESTAR ESTUDIANTIL                                                                                                                                                            SUBPROCESO ATENCIÓN SOCIOECONÓMICA | Código: FBE.04 | CONTROL DE PEDIDO Y SALIDAS DE ALMACÉN (BODEGAS) | Versión: 04 | Fecha de Salida de Almacén | Categoría (Marque con X) | dd | mm | aaaa | Alimentos y bebidas | X | 9 | 2 | 2026 | Aseo y productos químicos | Desechables | Unidad de Servicio que solicita: CAFETERIA CAFE PLAZOLETA CAMILO TORRES | Hace referencia a los servicios: Comedores Desayuno, Comedores Almuerzo, Comedores Cena, Combo Saludable Almuerzo, Cafetería Humanitas, Cafetería Akademia, Cafetería Bien estar Bien, Cafetería Campestre, La Cafeteria Bienestar Almuerzos, Bandejas, Desayunos, Mostrador, Servicios Especiales, etc."
