archivo,hoja,producto,unidad_medida,dia_del_mes,cantidad,total_fila
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,20,,0
